FECHA_DOC,PRECIO_UNITARIO
2022-01-05,434.48
2022-01-05,1264.05
2022-01-05,172.41
2022-01-05,237.07
2022-01-05,94.5
2022-01-07,485.0
2022-01-07,375.0
2022-01-11,945.0
2022-01-14,803.0
2022-01-17,531.0
2022-01-17,385.0
2022-01-17,605.0
2022-01-18,337.7
2022-01-19,1412.0
2022-01-19,1188.0
2022-01-19,663.0
2022-01-19,495.8
2022-01-20,522.0
2022-01-21,364.55
2022-01-21,662.0
2022-01-21,999.91
2022-01-25,566.64
2022-01-25,431.5
2022-01-25,528.3
2022-01-26,98.0
2022-01-26,830.25
2022-01-26,473.28
2022-01-27,1659.6
2022-01-27,107.76
2022-01-28,499.0
2022-01-28,900.0
2022-01-28,1189.0
2022-01-28,1435.0
2022-01-28,495.0
2022-01-28,125.0
2022-01-28,175.0
2022-01-31,925.6
2022-01-31,1517.63
2022-01-31,498.85
2022-01-31,535.09
2022-01-31,2118.0
2022-01-31,617.0
2022-02-02,385.0
2022-02-02,3892.24
2022-02-02,871.5
2022-02-02,375.29
2022-02-03,565.4
2022-02-03,351.64
2022-02-03,1125.0
2022-02-03,1125.0
2022-02-04,913.4
2022-02-04,462.0
2022-02-04,2665.3
2022-02-04,1579.6
2022-02-08,1877.65
2022-02-08,972.0
2022-02-09,1022.5
2022-02-09,1143.25
2022-02-10,568.65
2022-02-10,813.1
2022-02-10,357.85
2022-02-11,866.7
2022-02-11,514.25
2022-02-11,307.5
2022-02-14,420.0
2022-02-14,945.0
2022-02-14,345.0
2022-02-14,994.64
2022-02-14,738.4
2022-02-14,1452.18
2022-02-14,336.93
2022-02-15,447.42
2022-02-15,2174.6
2022-02-15,919.0
2022-02-16,145.0
2022-02-16,594.83
,408.87
2022-02-17,1136.53
2022-02-17,2525.0
2022-02-17,337.7
2022-02-18,813.05
2022-02-18,1048.0
2022-02-18,119.83
2022-02-21,813.0
2022-02-22,597.06
2022-02-22,813.1
2022-02-22,1520.0
2022-02-22,385.0
2022-02-22,435.0
2022-02-22,206.9
2022-02-23,387.45
2022-02-23,1674.0
2022-02-23,960.0
2022-02-23,689.92
2022-02-23,689.92
2022-02-23,813.0
2022-02-24,3200.0
2022-02-24,2218.27
2022-02-24,650.32
2022-02-25,1615.0
2022-02-25,1615.0
2022-02-25,1615.0
2022-02-25,1615.0
2022-02-25,1615.0
2022-02-25,445.0
2022-02-25,303.45
2022-02-25,369.25
2022-02-28,562.32
2022-02-28,1125.0
2022-02-28,1485.0
2022-02-28,625.2
2022-02-28,565.4
2022-02-28,498.77
2022-02-28,2508.7
2022-02-28,1028.35
2022-02-28,1265.2
2022-02-28,799.1
2022-02-28,1156.5
2022-02-28,992.25
2022-02-28,358.7
2022-02-28,625.2
2022-02-28,468.97
2022-03-02,1030.0
2022-03-02,1094.6
2022-03-03,462.0
2022-03-03,4315.0
2022-03-03,992.25
2022-03-03,512.36
2022-03-03,382.76
2022-03-04,560.04
2022-03-04,913.4
2022-03-04,1255.2
2022-03-04,337.7
2022-03-04,965.5
2022-03-07,265.0
2022-03-07,2265.0
2022-03-07,574.0
2022-03-08,577.8
2022-03-09,2218.27
2022-03-09,470.0
2022-03-09,594.83
2022-03-09,999.91
2022-03-09,980.6
2022-03-09,980.6
2022-03-10,812.53
2022-03-10,375.29
2022-03-10,470.0
2022-03-11,4508.2
2022-03-11,462.0
2022-03-11,107.76
2022-03-11,2377.0
2022-03-15,385.0
2022-03-15,999.91
2022-03-15,1215.5
2022-03-15,1910.0
2022-03-15,1520.25
2022-03-16,375.0
2022-03-16,462.0
2022-03-16,1410.6
2022-03-16,358.0
2022-03-16,448.6
2022-03-16,710.0
2022-03-17,337.0
2022-03-17,1953.26
2022-03-17,498.0
2022-03-17,2005.5
2022-03-18,568.97
2022-03-18,850.0
2022-03-18,932.5
2022-03-18,1615.0
2022-03-18,1179.25
2022-03-18,1179.25
2022-03-18,1848.4
2022-03-18,1848.4
2022-03-22,497.2
2022-03-22,999.91
2022-03-22,659.48
2022-03-22,375.0
2022-03-22,94.5
2022-03-22,153.0
2022-03-22,98.0
2022-03-23,732.0
2022-03-23,999.91
2022-03-23,265.08
2022-03-23,2835.0
2022-03-23,1247.5
2022-03-23,850.2
2022-03-23,485.3
2022-03-23,570.3
2022-03-23,3096.5
2022-03-23,1784.0
2022-03-23,7903.2
2022-03-24,585.13
2022-03-24,579.66
2022-03-24,800.0
2022-03-24,395.0
2022-03-25,691.68
2022-03-25,862.33
2022-03-25,120.0
2022-03-28,190.52
2022-03-28,636.21
2022-03-28,525.0
2022-03-28,495.0
2022-03-28,354.5
2022-03-28,354.5
2022-03-29,190.52
2022-03-29,435.0
2022-03-29,527.59
2022-03-29,1205.0
2022-03-29,704.5
2022-03-30,907.5
2022-03-30,165.0
2022-03-30,862.35
2022-03-30,1551.72
2022-03-30,538.79
2022-03-31,387.93
2022-03-31,1020.0
2022-03-31,1513.0
2022-03-31,500.5
2022-03-31,1056.03
2022-03-31,562.5
2022-03-31,646.6
2022-03-31,620.0
2022-03-31,1899.85
2022-03-31,2458.45
2022-03-31,4956.73
2022-03-31,657.5
2022-04-01,435.72
2022-04-04,120.09
2022-04-04,633.6
2022-04-04,564.71
2022-04-04,633.6
2022-04-04,498.65
2022-04-04,616.0
2022-04-04,598.0
2022-04-05,2278.45
2022-04-05,1105.6
2022-04-05,2400.0
2022-04-06,435.0
2022-04-06,405.2
2022-04-06,357.76
2022-04-07,625.7
2022-04-07,625.7
2022-04-07,153.45
2022-04-07,1991.06
2022-04-07,535.12
2022-04-08,3929.11
2022-04-11,485.0
2022-04-11,310.0
2022-04-11,1063.83
2022-04-11,908.0
2022-04-11,163.0
2022-04-12,1005.0
2022-04-12,1005.0
2022-04-12,2849.5
2022-04-13,1265.09
2022-04-13,527.0
2022-04-13,1241.0
2022-04-13,1120.69
2022-04-13,780.0
2022-04-13,867.03
2022-04-13,940.0
2022-04-13,940.0
2022-04-18,907.0
2022-04-19,659.6
2022-04-19,310.0
2022-04-19,1615.0
2022-04-20,23995.24
2022-04-21,145.0
2022-04-21,1035.0
2022-04-21,612.0
2022-04-21,825.0
2022-04-21,1529.69
2022-04-21,703.45
2022-04-21,110.0
2022-04-22,435.97
2022-04-22,491.03
2022-04-22,676.72
2022-04-25,695.2
2022-04-25,462.0
2022-04-25,468.1
2022-04-25,1395.35
2022-04-25,1037.1
2022-04-26,780.0
2022-04-26,1274.14
2022-04-26,153.45
2022-04-27,207.0
2022-04-27,622.0
2022-04-27,1208.25
2022-04-28,985.0
2022-04-28,3837.4
2022-04-28,978.6
2022-04-29,420.69
2022-04-29,1756.0
2022-04-29,1697.71
2022-04-29,485.0
2022-04-29,398.0
