,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
2,2004-01-01 00:00:00,Oficina,Alquiler,Girona,82.0,,2004-11-08 00:00:00,Joaquín
10,2004-01-04 00:00:00,Oficina,Alquiler,Girona,124.0,627068.0,2004-10-28 00:00:00,Pedro
19,2004-01-08 00:00:00,Oficina,Alquiler,Barcelona,148.0,1169496.0,2004-08-19 00:00:00,María
21,2004-01-09 00:00:00,Oficina,Alquiler,Lleida,116.0,727552.0,2004-04-14 00:00:00,Pedro
23,2004-01-10 00:00:00,Oficina,Alquiler,Tarragona,79.0,,2004-12-01 00:00:00,Joaquín
24,2004-01-10 00:00:00,Oficina,Alquiler,Barcelona,124.0,1170684.0,2004-05-23 00:00:00,Jesús
42,2004-01-19 00:00:00,Oficina,Alquiler,Girona,74.0,579716.0,2004-09-22 00:00:00,María
44,2004-01-20 00:00:00,Oficina,Alquiler,Barcelona,287.0,2851058.0,2005-01-02 00:00:00,Joaquín
45,2004-01-20 00:00:00,Oficina,Alquiler,Lleida,224.0,1294048.0,2004-10-29 00:00:00,Carmen
56,2004-01-23 00:00:00,Oficina,Alquiler,Lleida,54.0,512730.0,2004-07-04 00:00:00,Carmen
59,2004-01-24 00:00:00,Oficina,Alquiler,Lleida,270.0,1920240.0,2004-06-28 00:00:00,Jesús
133,2004-02-22 00:00:00,Oficina,Alquiler,Tarragona,275.0,1765225.0,2005-02-20 00:00:00,Joaquín
135,2004-02-23 00:00:00,Oficina,Alquiler,Lleida,105.0,624435.0,2004-06-24 00:00:00,Joaquín
142,2004-02-27 00:00:00,Oficina,Alquiler,Tarragona,134.0,1310520.0,2004-12-28 00:00:00,María
150,2004-03-01 00:00:00,Oficina,Alquiler,Lleida,128.0,1259904.0,2004-10-02 00:00:00,Luisa
163,2004-03-05 00:00:00,Oficina,Alquiler,Girona,287.0,1395681.0,2004-09-13 00:00:00,Carmen
197,2004-03-21 00:00:00,Oficina,Alquiler,Girona,174.0,720882.0,2004-08-14 00:00:00,Pedro
209,2004-03-24 00:00:00,Oficina,Alquiler,Lleida,206.0,1297594.0,2005-03-03 00:00:00,Carmen
229,2004-04-02 00:00:00,Oficina,Alquiler,Tarragona,186.0,1382166.0,2005-03-01 00:00:00,Pedro
262,2004-04-13 00:00:00,Oficina,Alquiler,Barcelona,244.0,1006988.0,2004-08-06 00:00:00,María
275,2004-04-17 00:00:00,Oficina,Alquiler,Girona,110.0,1039500.0,2004-11-17 00:00:00,Pedro
282,2004-04-18 00:00:00,Oficina,Alquiler,Tarragona,137.0,1336298.0,2004-11-27 00:00:00,Pedro
289,2004-04-20 00:00:00,Oficina,Alquiler,Girona,227.0,1437818.0,2005-03-27 00:00:00,Jesús
