,iso3,year,sector_GMatrix,g_primaryagr,g_otherprim,g_energy,g_procfoods,g_bevtobacco,g_textiles,g_clothing,g_leather,g_lumber,g_paperpub,g_chemicals,g_nonmetmin,g_metals,g_fabmetals,g_transpequip,g_machinery,g_othermanuf,g_water,g_construction,g_distribution,g_transport,g_communcation,g_finance,g_insurance,g_obsict,g_oconsumer,g_oservices,sector_HMatrix,h_primaryagr,h_otherprim,h_energy,h_procfoods,h_bevtobacco,h_textiles,h_clothing,h_leather,h_lumber,h_paperpub,h_chemicals,h_nonmetmin,h_metals,h_fabmetals,h_transpequip,h_machinery,h_othermanuf,h_water,h_construction,h_distribution,h_transport,h_communcation,h_finance,h_insurance,h_obsict,h_oconsumer,h_oservices,DomVAshare,GXshare,DXshare,VXsharefwd,VXsharebwd
3825,alb,2004,construction,0.4,0.0444,0.359,0.4298,0.0143,0.0995,0.2307,0.1859,0.0777,0.3849,0.0318,0.0415,0.0733,0.1104,0.0114,0.0508,0.008,0.0038,377.616,4.9561,0.7555,0.9357,0.0238,0.0382,2.5197,0.3291,10.4404,construction,0.0256,0.0172,0.0284,0.0276,0.0055,0.05,0.1972,0.1651,0.0222,0.0879,0.0133,0.0124,0.0733,0.0243,0.0055,0.0378,0.0045,0.0003,2.0303,0.4643,0.4578,0.4885,0.0083,0.0125,0.4071,0.0936,0.233,0.32595,0.003677,0.002732,0.004247,0.003158
3826,alb,2004,distribution,37.3887,1.3936,10.5835,54.1005,0.8166,6.0733,17.8593,16.2304,6.6674,6.2825,3.0633,2.2332,7.843,7.9789,1.299,4.027,0.804,0.1179,86.8176,1134.0,36.1241,3.5873,0.6056,0.9253,28.885,9.417,17.0574,distribution,2.397,0.5386,0.837,3.4764,0.3124,3.0512,15.2657,14.4144,1.9066,1.4343,1.2795,0.6687,7.8466,1.7532,0.6274,2.9961,0.4509,0.0103,0.4668,106.243,21.8881,1.8728,0.212,0.3029,4.6668,2.6792,0.3806,0.601543,0.0987,0.13535,0.168383,0.116353
3829,alb,2004,finance,9.8156,1.4584,11.217,9.3531,0.8604,1.4348,2.9628,6.8533,1.8091,0.9239,0.5302,0.4092,0.9766,1.1641,0.1557,0.8368,0.2773,0.3463,19.4368,47.3954,10.0658,4.1332,21.2157,0.4109,27.1039,1.928,16.0281,finance,0.6293,0.5636,0.8871,0.601,0.3292,0.7208,2.5325,6.0865,0.5173,0.2109,0.2215,0.1225,0.977,0.2558,0.0752,0.6225,0.1555,0.0303,0.1045,4.4404,6.099,2.1578,7.4277,0.1345,4.3791,0.5485,0.3577,0.684497,0.006322,0.009865,0.035031,0.007853
3833,alb,2004,oservices,0.2913,0.1102,0.1467,0.3305,0.0156,0.1665,0.1973,0.382,0.142,0.1192,0.0506,0.0406,0.0478,0.1944,0.0152,0.0778,0.0092,0.0041,1.3527,1.9867,0.9478,0.4487,0.0961,0.266,0.9525,2.9623,809.667,oservices,0.0187,0.0426,0.0116,0.0212,0.006,0.0836,0.1687,0.3393,0.0406,0.0272,0.0211,0.0122,0.0479,0.0427,0.0073,0.0579,0.0051,0.0004,0.0073,0.1861,0.5743,0.2343,0.0336,0.0871,0.1539,0.8428,18.0669,0.842349,0.012679,0.024347,0.01798,0.016921
3836,are,2004,energy,6.2676,12.0294,20944.7,20.6168,4.8629,8.3238,6.5473,1.3787,2.6477,18.6971,924.589,17.6939,52.7444,3.1486,15.1696,65.9904,28.512,139.15,63.4387,344.025,487.941,12.8864,20.8271,4.8347,77.5653,49.1658,91.9837,energy,2.3251,11.5954,19951.0,13.7083,3.3684,7.3197,4.7562,0.9221,2.2315,12.2418,368.022,11.061,46.8557,2.1086,10.91,57.5665,24.3922,1.2293,0.6022,14.9931,184.978,0.866,1.4833,2.6947,36.8561,5.3763,2.8054,0.529517,0.444702,0.422492,0.420121,0.443352
3844,are,2004,chemicals,1.7846,0.1305,43.5736,7.3335,1.7489,4.4271,0.664,0.447,1.2788,17.7581,5790.89,28.552,20.3627,1.4601,1.1763,50.6266,5.8131,0.5418,115.665,8.2587,7.6982,1.8152,1.05,0.0858,2.0971,9.5994,46.7313,chemicals,0.6621,0.1258,41.5063,4.8761,1.2114,3.893,0.4823,0.299,1.0778,11.627,2305.0,17.8486,18.0893,0.9778,0.846,44.1639,4.9731,0.0048,1.098,0.3599,2.9184,0.122,0.0748,0.0478,0.9965,1.0497,1.4253,0.621864,0.050301,0.056124,0.049846,0.057436
3846,are,2004,metals,0.843,0.7774,64.276,14.7056,3.4958,2.2974,1.4274,0.1144,3.7188,1.9377,53.994,3.7235,4551.51,222.004,115.499,143.783,63.4407,0.7152,773.07,19.5914,10.8288,15.8889,2.5561,0.127,5.2718,3.9266,10.9621,metals,0.3127,0.7494,61.2266,9.7779,2.4214,2.0202,1.037,0.0765,3.1342,1.2687,21.4917,2.3277,4043.35,148.675,83.0671,125.428,54.2739,0.0063,7.339,0.8538,4.1052,1.0678,0.182,0.0708,2.505,0.4294,0.3343,0.611965,0.083659,0.091856,0.092536,0.085679
3849,are,2004,machinery,0.5807,1.4109,1348.37,2.715,0.6475,1.7577,1.2218,0.1435,0.2963,1.3478,60.4147,1.6305,8.7216,0.9638,1.6298,5130.57,2.4736,9.4,87.5992,28.4046,55.5443,1.4236,2.5609,0.3934,6.8272,5.3607,14.2033,machinery,0.2154,1.36,1284.4,1.8052,0.4485,1.5457,0.8875,0.096,0.2497,0.8825,24.0474,1.0193,7.7478,0.6455,1.1721,4475.63,2.1162,0.083,0.8316,1.2379,21.0569,0.0957,0.1824,0.2192,3.244,0.5862,0.4332,0.585524,0.107129,0.112544,0.117901,0.106837
3852,are,2004,construction,0.3021,0.202,14.7839,0.9434,0.2228,0.1648,0.311,0.0759,1.5372,0.6429,3.0968,1.3392,6.6536,0.3675,2.0332,33.0651,17.1316,0.755,4953.68,18.631,8.7817,12.1065,9.8932,0.1916,11.4246,2.4983,36.4918,construction,0.1121,0.1947,14.0825,0.6272,0.1543,0.1449,0.2259,0.0508,1.2955,0.4209,1.2327,0.8372,5.9107,0.2461,1.4623,28.8442,14.6562,0.0067,47.0267,0.812,3.3291,0.8136,0.7046,0.1068,5.4286,0.2732,1.113,0.254408,0.002195,0.001002,0.00263,0.001551
3858,are,2004,obsict,12.018,1.9957,260.297,50.3203,12.009,16.3643,50.0669,14.3668,4.1885,13.5603,128.603,6.6415,54.6043,4.8148,112.788,323.501,83.3344,8.4236,156.455,793.996,120.525,28.6026,117.151,10.6748,2279.95,133.027,119.974,obsict,4.4584,1.9237,247.948,33.4584,8.3182,14.3902,36.3705,9.6092,3.5301,8.8785,51.189,4.1518,48.5079,3.2245,81.1177,282.205,71.2931,0.0744,1.4853,34.6034,45.691,1.9223,8.3433,5.9498,1083.35,14.5464,3.6591,0.765786,0.019063,0.026193,0.042658,0.024416
